市区町村名,ミリ波,sub6
奈良県,90,107
奈良市,19,28
大和高田市,3,3
大和郡山市,5,5
天理市,3,3
橿原市,6,7
桜井市,3,4
五條市,0,0
御所市,2,2
生駒市,4,5
香芝市,4,6
葛城市,0,0
宇陀市,5,5
山添村,0,0
平群町,3,3
三郷町,4,4
斑鳩町,0,2
安堵町,0,0
川西町,0,0
三宅町,0,0
田原本町,2,2
曽爾村,0,0
御杖村,2,2
高取町,0,0
明日香村,0,0
上牧町,3,3
王寺町,5,6
広陵町,4,4
河合町,4,4
吉野町,2,2
大淀町,3,3
下市町,0,0
黒滝村,0,0
天川村,2,2
野迫川村,0,0
十津川村,0,0
下北山村,0,0
上北山村,0,0
川上村,1,1
東吉野村,1,1
